Season,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2019,Jake Allen,29,STL,24,21,12,6,3,48,655,607,0.927,2.15,2,4.9,1339,14,2,0,0,0,0,9,3,6,66.7
2019,Frederik Andersen,30,TOR,52,52,29,13,7,143,1577,1434,0.909,2.85,3,8.9,3007,27,8,0,0,0,0,24,9,15,62.5
2019,Jonathan Bernier,31,DET,46,41,15,22,3,126,1353,1227,0.907,2.95,1,7.2,2566,17,5,0,3,3,4,11,2,9,81.8
2019,Jordan Binnington,26,STL,50,50,30,13,7,126,1430,1304,0.912,2.56,3,8.4,2948,28,5,0,1,1,4,10,3,7,70.0
2019,Ben Bishop,33,DAL,44,43,21,16,4,103,1286,1183,0.92,2.5,2,8.7,2474,27,5,0,2,2,2,9,5,4,44.4
2019,Mackenzie Blackwood,23,NJD,47,43,22,14,8,124,1452,1328,0.915,2.77,3,9,2684,22,6,0,1,1,0,35,11,24,68.6
2019,Sergei Bobrovsky,31,FLA,50,48,23,19,6,151,1505,1354,0.9,3.23,1,6.9,2806,20,10,0,0,0,0,7,6,1,14.3
2019,Laurent Brossoit,26,WPG,19,15,6,7,1,54,512,458,0.895,3.28,0,2.1,988,7,1,0,0,0,0,9,4,5,55.6
2019,Corey Crawford,35,CHI,40,39,16,20,3,108,1294,1186,0.917,2.77,1,8.3,2340,25,3,0,0,0,0,12,4,8,66.7
2019,Aaron Dell,30,SJS,33,30,12,15,3,92,986,894,0.907,3.01,0,5.3,1834,15,5,0,0,0,0,3,1,2,66.7
2019,Thatcher Demko,24,VAN,27,25,13,10,2,78,822,744,0.905,3.06,0,4.2,1529,15,5,0,0,0,0,12,2,10,83.3
2019,Louis Domingue,27,TOT,17,15,3,9,2,51,433,382,0.882,3.81,0,1.2,803,4,5,0,0,0,0,2,1,1,50.0
2019,Louis Domingue,27,NJD,16,14,3,8,2,47,399,352,0.882,3.79,0,1.1,744,4,5,0,0,0,0,2,1,1,50.0
2019,Louis Domingue,27,VAN,1,1,0,1,0,4,34,30,0.882,4.08,0,0.1,59,0,0,0,0,0,0,2,1,1,50.0
2019,Devan Dubnyk,33,MIN,30,28,12,15,2,93,849,756,0.89,3.35,1,3.1,1665,9,5,0,0,0,2,5,2,3,60.0
2019,Brian Elliott,34,PHI,31,27,16,7,4,80,796,716,0.899,2.87,2,3.6,1674,14,8,0,1,1,2,19,5,14,73.7
2019,Marc-Andre Fleury,35,VEG,49,48,27,16,5,133,1399,1266,0.905,2.77,5,7.2,2880,24,9,0,0,0,8,15,7,8,53.3
2019,Pavel Francouz,29,COL,34,30,21,7,4,77,996,919,0.923,2.41,1,7,1914,17,5,0,0,0,2,3,0,3,100.0
2019,Alexandar Georgiev,23,NYR,34,32,17,14,2,96,1063,967,0.91,3.04,2,6,1892,17,5,0,1,1,0,2,0,2,100.0
2019,John Gibson,26,ANA,51,51,20,26,5,149,1552,1403,0.904,3,1,7.8,2981,22,10,0,0,0,6,20,5,15,75.0
2019,Thomas Greiss,34,NYI,31,28,16,9,4,73,838,765,0.913,2.74,0,5,1596,15,5,0,0,0,2,10,3,7,70.0
2019,Philipp Grubauer,28,COL,36,36,18,12,4,90,1067,977,0.916,2.63,2,6.7,2057,17,4,0,0,0,0,3,2,1,33.3
2019,Jaroslav Halak,34,BOS,31,29,18,6,6,73,905,832,0.919,2.39,3,6.1,1833,18,3,0,2,2,0,18,6,12,66.7
2019,Carter Hart,21,PHI,43,40,24,13,3,95,1100,1005,0.914,2.42,1,6.7,2356,25,9,0,0,0,0,18,5,13,72.2
2019,Connor Hellebuyck,26,WPG,58,56,31,21,5,140,1796,1656,0.922,2.57,6,12.5,3269,36,6,0,2,2,0,8,4,4,50.0
2019,Adin Hill,23,ARI,13,9,2,4,3,28,343,315,0.918,2.62,0,2.3,641,5,0,0,0,0,2,8,2,6,75.0
2019,Marcus Hogberg,25,OTT,24,21,5,8,8,70,728,658,0.904,3.12,0,3.7,1345,10,3,0,0,0,0,14,6,8,57.1
2019,Braden Holtby,30,WSH,48,47,25,14,6,142,1385,1243,0.897,3.11,0,6,2743,22,11,0,1,1,4,30,9,21,70.0
2019,Jimmy Howard,35,DET,27,27,2,23,2,96,817,721,0.882,4.2,0,2.2,1372,7,9,0,0,0,0,2,1,1,50.0
2019,Michael Hutchinson,29,TOT,16,12,5,9,1,49,439,390,0.888,3.47,1,1.5,847,4,0,0,0,0,0,2,1,1,50.0
2019,Michael Hutchinson,29,TOR,15,11,4,9,1,48,421,373,0.886,3.66,1,1.3,787,3,0,0,0,0,0,2,1,1,50.0
2019,Michael Hutchinson,29,COL,1,1,1,0,0,1,18,17,0.944,1,0,0.2,60,1,0,0,0,0,0,2,1,1,50.0
