Player,Season,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
Justin Abdelkader,2010,23,DET,LW,74,7,12,19,15,61,1.7,7,0,0,1,11,0,1,129,5.4,910,12:18:00,39,188,227,203,52.8,765,628,54.9,-0.4,599,478,55.6,0.7,8.3,93.6,101.9,58.8,41.2,12:18:00,10:26:00,17,20,226,57.1,0,0,0,0.0
Luke Adam,2010,20,BUF,LW,19,3,1,4,-6,12,0.1,3,0,0,1,0,1,0,31,9.7,213,11:13:00,5,17,41,78,34.5,153,201,43.2,-6,118,156,43.1,-8,4.5,92.6,97.1,53.6,46.4,11:13:00,09:37:00,2,7,50,62,0,0,0,0.0
Craig Adams,2010,33,PIT,RW,80,4,11,15,-5,76,0.2,2,0,2,1,9,0,2,90,4.4,975,12:11:00,64,171,194,271,41.7,565,647,46.6,-7.8,424,460,48,-6,5.6,91.1,96.8,49.4,50.6,12:11:00,09:05:00,24,15,138,65.2,0,0,0,0.0
Andrew Alberts,2010,29,VAN,D,42,1,6,7,0,41,1.5,1,0,0,0,6,0,0,21,4.8,637,15:10:00,49,113,0,0,,470,532,46.9,-7.3,322,377,46.1,-8,9.3,92.1,101.4,40.6,59.4,15:08:00,13:20:00,7,19,53,39.6,0,0,0,0.0
Daniel Alfredsson,2010,38,OTT,RW,54,14,17,31,-19,18,2.7,7,7,0,1,12,5,0,96,14.6,1041,19:17:00,21,41,2,10,16.7,655,702,48.3,-2.5,484,541,47.2,-2.9,8.2,88.1,96.3,52.8,47.2,19:17:00,14:11:00,45,46,187,51.3,3,0,3,0.0
Bryan Allen,2010,30,TOT,D,72,4,13,17,-1,82,3.8,4,0,0,1,13,0,0,58,6.9,1319,18:19:00,103,118,0,0,,1083,1164,48.2,-3.6,793,877,47.5,-3.7,9.6,91.2,100.8,44.8,55.2,18:19:00,15:59:00,24,27,143,40.6,0,0,0,0.0
Bryan Allen,2010,30,FLA,D,53,4,8,12,-5,63,2.7,4,0,0,1,8,0,0,50,8,1018,19:13:00,76,83,0,0,,1083,1164,48.2,-3.6,793,877,47.5,-3.7,9.6,91.2,100.8,44.8,55.2,18:19:00,15:59:00,24,27,143,40.6,0,0,0,0.0
Bryan Allen,2010,30,CAR,D,19,0,5,5,4,19,1.1,0,0,0,0,5,0,0,8,0,301,15:51:00,27,35,0,0,,1083,1164,48.2,-3.6,793,877,47.5,-3.7,9.6,91.2,100.8,44.8,55.2,18:19:00,15:59:00,24,27,143,40.6,0,0,0,0.0
Cody Almond,2010,21,MIN,C,8,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,3,0,56,07:02:00,3,11,13,19,40.6,28,55,33.7,-10,24,35,40.7,-3.4,8.3,95.7,104,29.6,70.4,07:02:00,06:54:00,1,1,5,60,0,0,0,0.0
Karl Alzner,2010,22,WSH,D,82,2,10,12,14,24,4.6,2,0,0,0,10,0,0,64,3.1,1641,20:01:00,130,98,0,0,,1339,1241,51.9,0.4,955,900,51.5,0.3,8.5,93.2,101.7,49.6,50.4,19:47:00,17:17:00,24,40,140,45.7,0,0,0,0.0
